"SITE_NO","RSQA_STUDY","STATION_NM","COUNTY_NM","STATE_CD","STATE_NM","STATE_ABBREV","RECORD_NO","AGENCY_CD","MEDIUM_CD_DESC","MEDIUM_CD_DEF","SAMPLE_START_DT","SAMPLE_START_TZ_DESC","SAMPLE_END_DT","SAMPLE_END_TZ_DESC","SAMPLE_START_LOCAL_DISP_FM","SAMPLE_START_UTC_DISP_FM","SAMPLE_END_LOCAL_DISP_FM","SAMPLE_END_UTC_DISP_FM","LOCAL_TZ_DESC","TM_DATUM_RLBLTY_CD","HYD_COND_CD","SAMP_TYPE_CD","HYD_EVENT_CD","TU_1_NM","BODY_PART_NM","METH_CD","METH_NM","RESULT_VA","RESULT_SG","RESULT_RD","REMARK_CD","RPT_LEV_VA","RPT_LEV_SG","RPT_LEV_CD","RPT_LEV_NM","PARM_CD","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","LOAD_DT"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700260","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060902","201610061302","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","5.1","2","2","","","","-9999 ","Null value - no value specified.","72146","Biological","Biological","Organism length, minimum","7/19/2019 10:55:00 AM"
"01513820       ","NESQA","APALACHIN CREEK AT APALACHIN NY","Tioga County","36","New York","NY","01602986","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/5/2016 7:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201608051430","201608051930","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","144.7","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 11:18:00 AM"
"01114500       ","NESQA","WOONASQUATUCKET RIVER AT CENTERDALE, RI","Providence County","44","Rhode Island","RI","01602281","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","57.6","3","3","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:55:00 AM"
"01114500       ","NESQA","WOONASQUATUCKET RIVER AT CENTERDALE, RI","Providence County","44","Rhode Island","RI","01602281","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","18","2","2","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01208925       ","NESQA","MILL RIVER NEAR FAIRFIELD, CT","Fairfield County","09","Connecticut","CT","01602205","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 4:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608021102","201608021602","","","Eastern Standard Time","K","X","9","X","Lepomis                            ","Organism, whole","-9999","Null Value","34","2","2","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:55:00 AM"
"01208925       ","NESQA","MILL RIVER NEAR FAIRFIELD, CT","Fairfield County","09","Connecticut","CT","01602205","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 4:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608021102","201608021602","","","Eastern Standard Time","K","X","9","X","Lepomis                            ","Organism, whole","-9999","Null Value","0.4","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:55:00 AM"
"01121000       ","NESQA","MOUNT HOPE RIVER NEAR WARRENVILLE, CT","Windham County","09","Connecticut","CT","01602215","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608020802","201608021302","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","5.6","2","2","","","","-9999 ","Null value - no value specified.","72146","Biological","Biological","Organism length, minimum","7/19/2019 10:55:00 AM"
"01121000       ","NESQA","MOUNT HOPE RIVER NEAR WARRENVILLE, CT","Windham County","09","Connecticut","CT","01602215","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608020802","201608021302","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","9","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01121000       ","NESQA","MOUNT HOPE RIVER NEAR WARRENVILLE, CT","Windham County","09","Connecticut","CT","01602216","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 2:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608020901","201608021401","","","Eastern Standard Time","K","X","9","X","Luxilus                            ","Organism, whole","-9999","Null Value","58.5","3","3","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:55:00 AM"
"01121000       ","NESQA","MOUNT HOPE RIVER NEAR WARRENVILLE, CT","Windham County","09","Connecticut","CT","01602216","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 2:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608020901","201608021401","","","Eastern Standard Time","K","X","9","X","Luxilus                            ","Organism, whole","-9999","Null Value","6","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01105000       ","NESQA","NEPONSET RIVER AT NORWOOD, MA","Norfolk County","25","Massachusetts","MA","01602217","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608010801","201608011201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","12.4","3","3","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"01105000       ","NESQA","NEPONSET RIVER AT NORWOOD, MA","Norfolk County","25","Massachusetts","MA","01602219","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 12:03:00 PM","Eastern Standard Time","","Eastern Standard Time","201608010803","201608011203","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","15.3","3","3","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"01105000       ","NESQA","NEPONSET RIVER AT NORWOOD, MA","Norfolk County","25","Massachusetts","MA","01602219","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 12:03:00 PM","Eastern Standard Time","","Eastern Standard Time","201608010803","201608011203","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","0.6","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:55:00 AM"
"01105000       ","NESQA","NEPONSET RIVER AT NORWOOD, MA","Norfolk County","25","Massachusetts","MA","01602220","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608010901","201608011301","","","Eastern Standard Time","K","X","9","X","Micropterus                        ","Fillet","ALGOR","Computation by NWIS algorithm","40.2","4","3","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:55:00 AM"
"01174565       ","NESQA","WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA","Franklin County","25","Massachusetts","MA","01602277","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608080901","201608081301","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","16.6","3","3","","","","-9999 ","Null value - no value specified.","91106","Biological","Biological","Length of organism","7/19/2019 10:55:00 AM"
"01174565       ","NESQA","WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA","Franklin County","25","Massachusetts","MA","01602278","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608080902","201608081302","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","49.3","3","3","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:55:00 AM"
"01174565       ","NESQA","WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA","Franklin County","25","Massachusetts","MA","01602278","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608080902","201608081302","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","17.2","3","3","","","","-9999 ","Null value - no value specified.","91106","Biological","Biological","Length of organism","7/19/2019 10:55:00 AM"
"01174565       ","NESQA","WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA","Franklin County","25","Massachusetts","MA","01602279","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 1:03:00 PM","Eastern Standard Time","","Eastern Standard Time","201608080903","201608081303","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","270","3","3","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
"01095220       ","NESQA","STILLWATER RIVER NEAR STERLING, MA","Worcester County","25","Massachusetts","MA","01602269","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 2:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608081002","201608081402","","","Eastern Standard Time","K","X","9","X","Micropterus                        ","Fillet","-9999","Null Value","1","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01095220       ","NESQA","STILLWATER RIVER NEAR STERLING, MA","Worcester County","25","Massachusetts","MA","01602269","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 2:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608081002","201608081402","","","Eastern Standard Time","K","X","9","X","Micropterus                        ","Fillet","-9999","Null Value","3.9","2","4","","","","-9999 ","Null value - no value specified.","91105","Biological","Biological","Weight of tissue","7/19/2019 10:55:00 AM"
"01095220       ","NESQA","STILLWATER RIVER NEAR STERLING, MA","Worcester County","25","Massachusetts","MA","01602270","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 2:03:00 PM","Eastern Standard Time","","Eastern Standard Time","201608081003","201608081403","","","Eastern Standard Time","K","X","9","X","Micropterus                        ","Fillet","-9999","Null Value","1","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01073319       ","NESQA","LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH","Rockingham County","33","New Hampshire","NH","01602025","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/6/2016 3:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201608061130","201608061530","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","745.7","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 10:53:00 AM"
"01196620       ","NESQA","MILL RIVER NEAR HAMDEN, CT","New Haven County","09","Connecticut","CT","01602207","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608010801","201608011301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","8.8","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"01196620       ","NESQA","MILL RIVER NEAR HAMDEN, CT","New Haven County","09","Connecticut","CT","01602207","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608010801","201608011301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","10","2","2","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01196620       ","NESQA","MILL RIVER NEAR HAMDEN, CT","New Haven County","09","Connecticut","CT","01602208","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 2:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608010901","201608011401","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","10","2","2","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01196620       ","NESQA","MILL RIVER NEAR HAMDEN, CT","New Haven County","09","Connecticut","CT","01602209","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/1/2016 3:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608011001","201608011501","","","Eastern Standard Time","K","X","9","X","Perca                              ","Organism, whole","-9999","Null Value","3","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01174565       ","NESQA","WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA","Franklin County","25","Massachusetts","MA","01602279","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/8/2016 1:03:00 PM","Eastern Standard Time","","Eastern Standard Time","201608080903","201608081303","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","1","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01117800       ","NESQA","WOOD RIVER NEAR ARCADIA, RI","Washington County","44","Rhode Island","RI","01602280","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","65","2","2","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
"01117800       ","NESQA","WOOD RIVER NEAR ARCADIA, RI","Washington County","44","Rhode Island","RI","01602280","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","48.5","3","3","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:55:00 AM"
"01117800       ","NESQA","WOOD RIVER NEAR ARCADIA, RI","Washington County","44","Rhode Island","RI","01602280","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","8.1","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"0422026250     ","NESQA","NORTHRUP CREEK AT NORTH GREECE NY","Monroe County","36","New York","NY","01602991","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/9/2016 6:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608091300","201608091800","","","Eastern Standard Time","K","9","7","9","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","566.7","4","4","","0.1","1","MRL   ","Minimum reporting level","00572","Biological","Biological","Biomass, periphyton, ash wt","7/19/2019 11:18:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01601761","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/25/2016 6:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201608251430","201608251830","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","312.3","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 10:51:00 AM"
"01096710       ","NESQA","ASSABET RIVER AT ALLEN STREET AT NORTHBOROUGH, MA","Worcester County","25","Massachusetts","MA","01602140","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/9/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608090801","201608091201","","","Eastern Standard Time","K","X","9","X","Lepomis                            ","Organism, whole","-9999","Null Value","25.8","3","3","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:54:00 AM"
"01096710       ","NESQA","ASSABET RIVER AT ALLEN STREET AT NORTHBOROUGH, MA","Worcester County","25","Massachusetts","MA","01602141","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/9/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608090901","201608091301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","1","1","2","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:54:00 AM"
"01209700       ","NESQA","NORWALK RIVER AT SOUTH WILTON, CT","Fairfield County","09","Connecticut","CT","01602221","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/3/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608030801","201608031301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","74","2","2","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
"01209700       ","NESQA","NORWALK RIVER AT SOUTH WILTON, CT","Fairfield County","09","Connecticut","CT","01602221","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/3/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608030801","201608031301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","4","1","2","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:55:00 AM"
"01209700       ","NESQA","NORWALK RIVER AT SOUTH WILTON, CT","Fairfield County","09","Connecticut","CT","01602221","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/3/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608030801","201608031301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","0.6","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:55:00 AM"
"01105600       ","NESQA","OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA","Norfolk County","25","Massachusetts","MA","01602223","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608020801","201608021201","","","Eastern Standard Time","K","X","9","X","Lepomis                            ","Organism, whole","-9999","Null Value","3.8","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"01117800       ","NESQA","WOOD RIVER NEAR ARCADIA, RI","Washington County","44","Rhode Island","RI","01602280","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","0.6","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:55:00 AM"
"01114500       ","NESQA","WOONASQUATUCKET RIVER AT CENTERDALE, RI","Providence County","44","Rhode Island","RI","01602281","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","7.6","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"01114500       ","NESQA","WOONASQUATUCKET RIVER AT CENTERDALE, RI","Providence County","44","Rhode Island","RI","01602281","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/7/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608070801","201608071201","","","Eastern Standard Time","K","X","9","X","Etheostoma                         ","Organism, whole","-9999","Null Value","5.6","2","2","","","","-9999 ","Null value - no value specified.","72146","Biological","Biological","Organism length, minimum","7/19/2019 10:55:00 AM"
"01208925       ","NESQA","MILL RIVER NEAR FAIRFIELD, CT","Fairfield County","09","Connecticut","CT","01602203","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/2/2016 3:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608021001","201608021501","","","Eastern Standard Time","K","X","9","X","Esox                               ","Fillet","-9999","Null Value","195","3","3","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
"01096710       ","NESQA","ASSABET RIVER AT ALLEN STREET AT NORTHBOROUGH, MA","Worcester County","25","Massachusetts","MA","01602141","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/9/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608090901","201608091301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","6.8","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:54:00 AM"
"010965852      ","NESQA","BEAVER BROOK AT NORTH PELHAM, NH","Rockingham County","33","New Hampshire","NH","01602142","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/5/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608050801","201608051201","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","2","1","2","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:54:00 AM"
"010965852      ","NESQA","BEAVER BROOK AT NORTH PELHAM, NH","Rockingham County","33","New Hampshire","NH","01602143","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/5/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608050901","201608051301","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","111","3","3","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:54:00 AM"
"01154000       ","NESQA","SAXTONS RIVER AT SAXTONS RIVER, VT","Windham County","50","Vermont","VT","01602260","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/9/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608090801","201608091201","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","54","2","2","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
